,과 목,주석,제 71 (당)기,제 70 (전)기,제 71(당)기,제 70(전)기
32,자 본,nan0,nan0,nan0,nan,nan
33,지배기업의 소유주에게 귀속되는 자본,nan0,nan0,nan0,nan,nan
34,I. 자본금,24.00,43426500000000,43426500000000,nan,nan
35,II. 기타불입자본,24.00,"(457,886,936,004)0","(458,006,536,981)0",nan,nan
36,III. 신종자본증권,25.00,20562974775260,15580001975260,nan,nan
37,IV. 기타자본구성요소,26.00,28205974219140,8787055041340,nan,nan
38,V. 이익잉여금,27.00,39242011586870,39855493041350,nan,nan
39,비지배지분,nan0,13074160958110,11227585995610,nan,nan
40,자 본 총 계,nan0,139932752179340,114296570683750,nan,nan
41,부 채 및 자 본 총 계,nan0,1418500871462670,1320844508179530,nan,nan
42,I. 영업수익,nan0,nan0,nan0,24978491660552,23430547277272
43,1. 보험료수익,29.00,nan0,nan0,15588095238178,14925813989261
44,2. 재보험수익,30.00,nan0,nan0,1494806590787,1355532615598
45,3. 이자수익,2840.00,nan0,nan0,2988082628692,3046239636961
46,4. 구상이익,15.00,nan0,nan0,3494540754,4099241630
47,5. 당기손익인식유가증권 평가 및 처분이익,28.00,nan0,nan0,150994840730,56845726876
48,6. 매도가능유가증권 평가 및 처분이익,28.00,nan0,nan0,575706564148,273016400861
49,7. 외환거래 및 환산이익,28.00,nan0,nan0,1403051446045,1073023030796
50,8. 파생상품 평가 및 거래이익,1128.00,nan0,nan0,750581739382,463802210305
51,9. 기타수익,3140.00,nan0,nan0,837311218708,927725072037
52,10. 특별계정수입수수료,nan0,nan0,nan0,987928707283,1116410881183
53,11. 특별계정수익,nan0,nan0,nan0,198438145845,188038471764
54,II. 영업비용,nan0,nan0,nan0,24929092069402,22780351927145
55,1. 보험계약부채전입액,16.00,nan0,nan0,4645780301783,4289371153468
56,2. 지급보험금,3240.00,nan0,nan0,11879742838412,11191171326495
57,3. 재보험비용,30.00,nan0,nan0,1584249328253,1422446608628
58,4. 사업비,3340.00,nan0,nan0,1985278598989,1885457990974
59,5. 신계약비상각비,15.00,nan0,nan0,1252154871081,1332384053521
60,6. 재산관리비,3440.00,nan0,nan0,131031511305,111999815824
61,7. 손해조사비,35.00,nan0,nan0,116231862990,107935737726
62,8. 당기손익인식유가증권 평가 및 처분손실,28.00,nan0,nan0,42871211591,43658970537
63,9. 매도가능유가증권 평가 및 처분손실,28.00,nan0,nan0,370391996647,155187673714
64,10. 대출채권및수취채권 평가 및 처분손실,28.00,nan0,nan0,128075744664,28559182619
65,11. 외환거래 및 환산손실,28.00,nan0,nan0,366548500939,234493756109
66,12. 파생상품평가 및 거래손실,1128.00,nan0,nan0,1767389172765,1265266798081
67,13. 기타비용,36.00,nan0,nan0,439876215457,503667925013
68,14. 특별계정지급수수료,nan0,nan0,nan0,21031768681,22798912286
69,15. 특별계정비용,nan0,nan0,nan0,198438145845,185952022150
70,III. 영업이익,nan0,nan0,nan0,49399591150,650195350127
71,IV. 영업외수익,37.00,nan0,nan0,61820519672,49885285300
72,V. 영업외비용,37.00,nan0,nan0,76340907013,63666258423
73,VI. 법인세비용차감전순이익,nan0,nan0,nan0,34879203809,636414377004
74,VII. 법인세비용(수익),38.00,nan0,nan0,"(23,787,774,385)",189889909979
75,VIII. 당기순이익,nan0,nan0,nan0,58666978194,446524467025
76,IX. 법인세비용차감후 기타포괄손익,nan0,nan0,nan0,2144092743002,"(320,240,383,087)"
77,1. 당기손익으로 재분류되지 않는 포괄손익,nan0,nan0,nan0,944084714,"(9,027,629,532)"
78,1) 유형자산재평가이익,nan0,nan0,nan0,3605342547,9624725753
79,2) 순확정급여부채의 재측정요소,nan0,nan0,nan0,"(2,661,257,833)","(18,652,355,285)"
80,2. 후속적으로 당기손익으로 재분류될 수 있는 포괄손익,nan0,nan0,nan0,2143148658288,"(311,212,753,555)"
81,1) 매도가능금융자산평가손익,nan0,nan0,nan0,2267500856788,"(350,883,252,785)"
82,2) 만기보유금융자산평가손익,nan0,nan0,nan0,"(72,581,100,665)",11926690122
83,3) 관계기업의 기타포괄손익지분,nan0,nan0,nan0,"(4,435,247,987)",3188800825
84,4) 위험회피목적파생상품평가손익,nan0,nan0,nan0,"(159,438,788,627)",580962946
85,5) 특별계정기타포괄손익,nan0,nan0,nan0,66695875634,17483598207
86,6) 해외사업장환산외환차이,nan0,nan0,nan0,45407063145,6490447130
87,X. 당기총포괄손익,nan0,nan0,nan0,2202759721196,126284083938
88,nan,nan0,nan0,nan0,nan,nan
89,XI. 당기순이익의 귀속,nan0,nan0,nan0,58666978194,446524467025
90,1. 지배기업의 소유주,nan0,nan0,nan0,100420865101,415273141458
91,2. 비지배지분,nan0,nan0,nan0,"(41,753,886,907)",31251325567
92,XII. 당기총포괄손익의 귀속,nan0,nan0,nan0,2202759721196,126284083938
93,1. 지배기업의 소유주,nan0,nan0,nan0,2042312782881,65253356040
94,2. 비지배지분,nan0,nan0,nan0,160446938315,61030727898
95,XIII. 주당이익,39.00,nan0,nan0,nan,nan
96,1. 기본주당이익,nan0,nan0,nan0,18,473
97,2. 희석주당이익,nan0,nan0,nan0,18,473
