,과 목,제 51 기,제 50 기,제 49 기
84,(3) 확정급여부채의 재측정요소,"(3,283,922,322)0",-0,-0
85,IX. 당기총포괄이익,9737023038940,4785762134280,2985756445350
86,1. 지배기업의 소유주지분,9683786603810,4731520036110,2970401958170
87,2. 비지배지분,53236435130,54242098170,15354487180
88,X. 주당이익,nan0,nan0,nan0
89,1. 기본 및 희석주당이익(보통주),9560,6600,9440
90,2. 기본 및 희석주당이익(2우선주),9560,6600,-0
91,I. 영업활동으로 인한 현금흐름,"(3,375,265,651,168)0","(4,875,546,659,816)0","(4,144,580,874,068)0"
92,1. 조정후당기순이익,2060638314480,"(150,525,028,539)0","(126,879,134,300)0"
93,당기순이익,6642498328000,4620096048160,5049337264880
94,이자수익,"(3,135,172,221,798)0","(2,408,372,888,749)0","(1,152,767,665,404)0"
95,배당수익,"(130,528,831,618)0","(81,374,193,120)0","(220,313,095,925)0"
96,이자비용,25780431823920,17542122645890,5814526202350
97,법인세비용,2294718696720,1230001839250,1598152803060
98,2-1. 현금의 유출이 없는 비용 등의 가산,24181681288460,23654311246130,22096569328010
99,단기매매금융자산평가손실,-0,-0,1113006202780
100,당기손익-공정가치측정금융자산평가손실,1763933595230,5341587288850,-0
101,단기매매금융부채평가손실,-0,-0,215114877710
102,당기손익-공정가치측정금융부채평가손실,167556251570,194820694110,-0
103,당기손익인식지정금융자산평가손실,-0,-0,526230311780
104,당기손익인식지정금융부채평가손실,-0,-0,4687353408890
105,당기손익-공정가치측정지정금융부채평가손실,6429457952190,2343799422440,-0
106,파생상품평가손실,11046453577000,13404135656200,11285135349900
107,매도가능금융자산처분손실,-0,-0,250584252580
108,기타포괄손익-공정가치측정금융자산처분손실,54202551180,40819584990,-0
109,매도가능금융자산손상차손,-0,-0,271677927950
110,기타포괄손익-공정가치측정금융자산손상차손,32343952940,22682522900,-0
111,관계기업투자자산평가손실,31985234770,96889036370,32241922640
112,관계기업투자자산처분손실,249622320,381534470,281320930
113,관계기업투자자산손상차손,11289781110,-0,-0
114,종속기업투자자산처분손실,32270427350,85883324690,67912015280
115,유형자산감가상각비,721240849800,240236471650,227180864040
116,투자부동산상각비,442825575160,298659655230,291157309880
117,유형자산처분손실,20358696170,6284975680,2890463220
118,투자부동산처분손실,-0,66820430,-0
119,무형자산상각비,480392072040,418447445710,429019542000
120,무형자산처분손실,206122100,78170400,174319200
121,무형자산손상차손,-0,-0,1527155090
122,주식보상비용,5933757850,35343780780,73654382690
123,대손상각비,-0,-0,19667650280
124,임차료,-0,22275786100,29124876300
125,신용손실충당금 전입액,153320159810,93528136210,-0
126,기타의대손상각비,-0,-0,16530790390
127,기타의신용손실충당금 전입액,246530061280,15527463230,-0
128,외화환산손실,1616186800080,772966182980,2359812663570
129,충당부채전입액,9832485260,89907748260,124025765480
130,기타영업비용,908265627530,129989544450,72265955430
131,기타영업외비용,6846135720,-0,-0
132,2-2. 현금의 유입이 없는 수익 등의 차감,"(2,776,777,699,507)0","(2,260,448,142,767)0","(2,217,454,771,934)0"
133,단기매매금융자산평가이익,-0,-0,"(161,133,276,663)0"
134,당기손익-공정가치측정금융자산평가이익,"(811,897,667,657)0","(405,316,597,359)0",-0
135,단기매매금융부채평가이익,-0,-0,"(7,955,205,898)0"
136,당기손익-공정가치측정금융부채평가이익,"(14,018,255,031)0","(29,658,052,144)0",-0
137,당기손익인식지정금융자산평가이익,-0,-0,"(58,874,322,184)0"
138,당기손익인식지정금융부채평가이익,-0,-0,"(376,139,857,576)0"
139,당기손익-공정가치측정지정금융부채평가이익,"(393,622,513,010)0","(714,828,114,049)0",-0
140,파생상품평가이익,"(1,184,173,548,466)0","(858,848,789,630)0","(1,364,624,758,347)0"
141,매도가능금융자산처분이익,-0,-0,"(114,486,993,943)0"
142,기타포괄손익-공정가치측정금융자산처분이익,"(40,932,439,914)0","(4,885,302,388)0",-0
143,관계기업투자자산평가이익,"(148,908,783,357)0","(40,039,913,005)0","(50,787,176,636)0"
144,관계기업투자자산처분이익,"(1,214,276,261)0",-0,"(79,734,357)0"
145,종속기업투자자산처분이익,"(38,299,152,672)0","(15,773,484,185)0","(8,403,873,610)0"
146,유형자산처분이익,"(84,656,091)0","(2,415,783,388)0","(1,805,011,499)0"
147,투자부동산처분이익,"(1,352,752,216)0","(48,083,362,851)0",-0
148,무형자산처분이익,-0,"(150,000,000)0","(89,178,000)0"
149,대손충당금환입액,-0,-0,"(1,477,834,881)0"
150,신용손실충당금 환입액,"(5,025,750,362)0","(171,694,496)0",-0
151,기타대손충당금환입액,-0,-0,"(715,261,956)0"
152,기타의신용손실충당금 환입액,"(12,405,810)0","(38,552,466)0",-0
153,외화환산이익,"(132,429,735,408)0","(130,332,632,151)0","(67,477,826,955)0"
154,충당부채환입액,"(2,136,034,073)0","(9,905,864,655)0","(3,404,459,429)0"
155,기타영업수익,"(341,084,565)0",-0,-0
156,기타영업외수익,"(2,328,644,614)0",-0,-0
157,3. 영업활동으로 인한 자산 부채의 변동,"(3,738,028,292,444)0","(5,301,498,820,812)0","(4,720,831,332,650)0"
158,예치금,6338513316680,"(2,670,231,841,543)0","(470,479,042,077)0"
159,단기매매금융자산,-0,-0,3337415346370
160,당기손익-공정가치측정금융자산,"(5,386,709,070,547)0","(2,044,850,643,681)0",-0
161,단기매매이외의 당기손익인식금융자산,-0,-0,27370513294920
162,대여금및수취채권,-0,-0,"(8,902,982,471,849)0"
163,상각후원가측정금융자산,35652202661050,"(3,226,225,658,895)0",-0
164,기타자산,"(62,886,966,977)0","(20,098,028,797)0",186077681900
165,단기매매금융부채,-0,-0,1920768489630
166,당기손익-공정가치측정금융부채,"(338,073,797,074)0",1215393151400,-0
167,단기매매이외의 당기손익인식금융부채,-0,-0,"(4,908,975,621,420)0"
168,당기손익-공정가치측정지정금융부채,"(740,544,016,142)0",6481488237010,-0
169,예수부채,4942903371350,3557715567160,9963380896540
170,기타부채,"(1,898,449,148,700)0",15346169535460,52880533478490
171,충당부채,"(4,727,227,912)0","(169,296,999)0","(4,263,116,089)0"
172,4. 이자수취,31472595956530,23277074930640,11011970904730
173,5. 이자지급,"(2,540,642,844,624)0","(1,730,967,326,103)0","(572,210,250,197)0"
174,6. 배당금수취,1418638934710,758685256830,2160040486400
175,7. 법인세지급,"(233,172,264,011)0","(201,114,484,955)0","(34,063,456,901)0"
176,Ⅱ. 투자활동으로 인한 현금흐름,"(2,160,051,688,326)0","(2,841,895,339,621)0","(458,585,680,133)0"
177,1. 투자활동으로 인한 현금유입액,95297729625240,42049837095880,73042905636880
178,매도가능금융자산의 감소,-0,-0,72297591177740
179,기타포괄손익-공정가치측정금융자산의 감소,89602093867710,40906368318630,-0
180,종속기업투자자산의 감소,5088472535120,285802172100,-0
181,관계기업투자자산의 감소,22700850000,9754741250,468296632930
182,유형자산의 처분,1371464730,68435807000,104764073690
183,투자부동산의 처분,105100000000,572190708330,-0
184,무형자산의 처분,5101809370,11103200000,19123599800
185,임차보증금의 감소,436825006550,192410999700,97707829620
186,임대보증금의 증가,36064091760,3771148870,55422323100
187,2. 투자활동으로 인한 현금유출액,"(11,689,824,650,850)0","(7,046,879,049,209)0","(7,762,876,243,821)0"
188,매도가능금융자산의 증가,-0,-0,"(7,391,671,283,378)0"
189,기타포괄손익-공정가치측정금융자산의 증가,"(10,065,423,727,336)0","(6,492,854,154,314)0",-0
190,관계기업투자자산의 증가,"(330,124,595,848)0","(360,840,024,027)0","(272,295,013,851)0"
191,유형자산의 취득,"(82,688,873,552)0","(64,152,258,433)0","(46,562,286,746)0"
192,투자부동산의 취득,"(1,186,392,949,632)0","(85,596,047,107)0",-0
193,무형자산의 취득,"(14,236,492,812)0","(36,318,014,598)0","(41,657,356,373)0"
194,임차보증금의 증가,"(6,931,175,262)0","(4,104,179,770)0","(8,191,373,473)0"
195,임대보증금의 감소,"(4,026,836,408)0","(3,014,370,960)0","(2,498,930,000)0"
196,III. 재무활동으로 인한 현금흐름,59158224212820,80542457303380,40499995443320
197,1. 재무활동으로 인한 현금유입액,61281956019700,84036557017690,41012607716490
198,차입부채의 순증가,36940216222370,62744978968230,30406994059550
199,발행사채의 순증가,20302867868710,11593916233320,3825410288690
200,유상증자,202613245000,6922963802750,-0
201,자기주식의 처분,-0,-0,4984999902300
202,기타부채의 증가,3836258683620,2774698013390,1795203465950
203,2. 재무활동으로 인한 현금유출액,"(212,373,180,688)0","(349,409,971,431)0","(51,261,227,317)0"
204,리스부채의 순감소,"(47,312,386,387)0",-0,-0
205,배당금의 지급,"(153,906,749,480)0","(124,691,658,520)0","(25,940,557,950)0"
206,자기주식의 취득,-0,"(76,864,270,530)0","(172,801,387)0"
207,기타부채의 감소,"(11,154,044,821)0","(147,854,042,381)0","(24,545,342,752)0"
208,비지배지분의 감소,-0,-0,"(602,525,228)0"
209,IV. 외화표시 현금및현금성자산의 환율변동 효과,"(6,055,208,464)0",65874649290,"(78,412,741,390)0"
210,V. 현금및현금성자산 순증감 (= I + II + III + IV),3744498733240,3433911958300,"(631,579,751,259)0"
211,VI. 기초 현금및현금성자산,17178401657340,13744489699040,20060287211630
212,Ⅶ. 기말 현금및현금성자산,20922900390580,17178401657340,13744489699040
