,과 목,제51(당)기 기말,제50(전)기 기말,제 49(전전)기 기말,제 51(당)기,제 50(전)기,제 49(전전)기
76,"지배주주지분 당기순이익<주석5,17>",nan0,nan0,nan0,661145875416,523652450822,418793549251
77,비지배주주지분 당기순이익,nan0,nan0,nan0,8050472825,10126813738,11649934812
78,기타포괄손실,nan0,nan0,nan0,"(101,822,815,784)","(53,585,055,160)",26920030379
79,1. 후속적으로 당기손익으로 재분류되는 항목,nan0,nan0,nan0,nan,nan,nan
80,"매도가능금융자산평가손실<주석20,35>",nan0,nan0,nan0,"(52,270,027,153)","(27,497,231,759)",1607217427
81,만기보유금융자산평가이익<주석37>,nan0,nan0,nan0,-,3066122337,5964136023
82,"관계기업 기타포괄손익항목에 대한 지분변동<주석22,35>",nan0,nan0,nan0,"(8,406,877,725)","(7,617,637,477)",1611509105
83,"위험회피목적파생상품평가이익<주석30,35>",nan0,nan0,nan0,58321257769,"(14,604,204,291)","(24,543,003,317)"
84,해외사업환산이익(손실)<주석35>,nan0,nan0,nan0,"(74,482,652,489)",15118849326,50370521667
85,"특별계정기타포괄손실<주석33,35>",nan0,nan0,nan0,"(20,091,440,227)","(16,862,835,172)","(742,065,367)"
86,2. 후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0,nan,nan,nan
87,"확정급여부채의 재측정요소<주석31,35>",nan0,nan0,nan0,"(994,008,629)","(5,188,118,124)","(7,348,285,159)"
88,유형자산재평가잉여금<주석35>,nan0,nan0,nan0,"(3,899,067,330)",-,-
89,총포괄이익,nan0,nan0,nan0,567373532457,480194209400,457363514442
90,지배주주지분 총포괄이익,nan0,nan0,nan0,563035685366,457975633510,443917069586
91,비지배주주지분 총포괄이익,nan0,nan0,nan0,4337847091,22218575890,13446444856
92,지배주주기본 및 희석주당이익<주석17>,nan0,nan0,nan0,10445,8273,6616
