,과 목,제 49 기,제 48 기,제 47 기
62,(2) 지분법적용투자주식평가손익,"(8,193,453,933)0","(2,301,018,762)0",48710323360
63,(3) 해외사업장순투자에 대한 위험회피,125995731330,-0,-0
64,(4) 해외사업환산손익,"(186,417,906,574)0",346915750000,"(8,914,940,828)0"
65,IX. 총포괄이익,2985756445350,703602747720,1596952766850
66,1. 지배기업의 소유주지분,2970401958170,1000116775890,1541674708250
67,2. 비지배지분,15354487180,"(29,651,402,817)0",55278058600
68,X. 주당이익,nan0,nan0,nan0
69,1. 기본 및 희석주당이익,9440,1160,8170
70,I. 영업활동으로 인한 현금흐름,"(4,144,580,874,068)0",50146271583520,"(3,843,474,176,593)0"
71,1. 조정후당기순이익,"(126,879,134,300)0","(666,352,794,916)0","(95,201,237,164)0"
72,당기순이익,5049337264880,157009011420,1746395500910
73,이자수익,"(1,152,767,665,404)0","(925,526,978,508)0","(510,557,621,736)0"
74,배당수익,"(220,313,095,925)0","(144,722,341,564)0","(50,493,227,524)0"
75,이자비용,5814526202350,3829555841330,2397472413720
76,법인세비용,1598152803060,52400398810,514628206330
77,2-1. 현금의 유출이 없는 비용 등의 가산,22096569328010,25500606096130,11166263473810
78,단기매매금융자산평가손실,1113006202780,882313722210,274435084610
79,단기매매금융부채평가손실,215114877710,34578773160,38789769820
80,당기손익인식지정금융자산평가손실,526230311780,330142361420,695589611530
81,당기손익인식지정금융자산처분손실,-0,-0,17471223750
82,당기손익인식지정금융부채평가손실,4687353408890,14229263265050,1807004903280
83,파생상품평가손실,11285135349900,8223688766800,6799915487150
84,파생상품거래손실,-0,-0,5853854990
85,매도가능금융자산처분손실,250584252580,296798884910,142856697520
86,매도가능금융자산손상차손,271677927950,506023813170,354543812040
87,관계기업투자자산평가손실,32241922640,44095462410,22817330
88,관계기업투자자산처분손실,281320930,-0,323703491430
89,종속기업투자자산처분손실,67912015280,23152710240,-0
90,유형자산감가상각비,227180864040,150609213240,99154370570
91,투자부동산상각비,291157309880,102493077730,-0
92,유형자산처분손실,2890463220,3384007380,1037855280
93,무형자산상각비,429019542000,252256224930,29739354820
94,무형자산처분손실,174319200,1246338230,19228000
95,무형자산손상차손,1527155090,-0,-0
96,주식보상비용,73654382690,93473313140,10717134050
97,임차료,29124876300,20952158560,11971091030
98,대손상각비,19667650280,202057442780,371826536200
99,기타의대손상각비,16530790390,82364917780,19500905280
100,외화환산손실,2359812663570,17792809950,159168148220
101,충당부채전입액,124025765480,619016900,-0
102,복구공사손실,-0,689387200,725576850
103,기타영업비용,72265955430,2610428940,2216520060
104,2-2. 현금의 유입이 없는 수익 등의 차감,"(2,217,454,771,934)0","(2,383,274,810,094)0","(1,383,442,912,770)0"
105,단기매매금융자산평가이익,"(161,133,276,663)0","(73,404,560,555)0","(57,107,075,007)0"
106,단기매매금융부채평가이익,"(7,955,205,898)0","(17,415,437,489)0","(2,867,188,315)0"
107,당기손익인식지정금융자산평가이익,"(58,874,322,184)0","(288,924,940,449)0","(56,389,025,998)0"
108,당기손익인식지정금융자산처분이익,-0,-0,"(24,105,951,050)0"
109,당기손익인식지정금융부채평가이익,"(376,139,857,576)0","(214,849,432,766)0","(570,048,670,168)0"
110,파생상품평가이익,"(1,364,624,758,347)0","(1,514,798,801,902)0","(452,141,227,557)0"
111,매도가능금융자산처분이익,"(114,486,993,943)0","(70,376,854,980)0","(90,481,084,409)0"
112,관계기업투자자산평가이익,"(50,787,176,636)0","(21,381,903,905)0","(8,391,647,282)0"
113,종속기업투자자산처분이익,"(8,403,873,610)0","(677,484,890)0","(75,928,396,639)0"
114,관계기업투자자산처분이익,"(79,734,357)0","(19,274,121)0","(276,099,875)0"
115,유형자산처분이익,"(1,805,011,499)0","(34,694,084)0","(5,677,100)0"
116,무형자산처분이익,"(89,178,000)0","(1,060,170,000)0","(126,666,667)0"
117,대손충당금환입,"(1,477,834,881)0","(8,543,118,353)0","(51,611,986)0"
118,기타대손충당금환입,"(715,261,956)0","(358,000,324)0","(2,124,675,742)0"
119,외화환산이익,"(67,477,826,955)0","(162,897,368,395)0","(43,380,458,573)0"
120,복구공사이익,-0,"(15,486,485)0","(17,456,402)0"
121,충당부채환입액,"(3,404,459,429)0","(8,517,281,396)0",-0
122,3. 영업활동으로 인한 자산 부채의 변동,"(4,720,831,332,650)0",48805824417530,"(3,773,282,322,308)0"
123,예치금,"(470,479,042,077)0",5153044696370,"(485,538,779,161)0"
124,단기매매금융자산,3337415346370,49821936239570,"(3,959,610,771,502)0"
125,단기매매이외의 당기손익인식금융자산,27370513294920,19232086864980,"(337,841,322,361)0"
126,대여금및수취채권,"(8,902,982,471,849)0","(413,620,061,840)0","(106,009,466,873)0"
127,기타자산,186077681900,28272808368180,"(449,956,633,640)0"
128,예수부채,9963380896540,3305010285030,2171781345860
129,단기매매금융부채,1920768489630,1199500304910,"(47,364,162,798)0"
130,단기매매이외의 당기손익인식금융부채,"(4,908,975,621,420)0","(2,765,402,576,730)0",13504611885480
131,기타부채,52880533478490,"(2,634,354,284,800)0",459956325930
132,충당부채,"(4,263,116,089)0","(4,479,310,781)0","(596,141,700)0"
133,4. 이자수취,11011970904730,9375322228180,5208899597830
134,5. 이자지급,"(572,210,250,197)0","(368,853,150,370)0","(213,389,771,018)0"
135,6. 배당금수취,2160040486400,1443662005780,504378377720
136,7. 법인세지급,"(34,063,456,901)0","(79,433,561,030)0","(66,112,078,269)0"
137,Ⅱ. 투자활동으로 인한 현금흐름,"(458,585,680,133)0","(53,991,075,758)0","(3,632,910,825)0"
138,1. 투자활동으로 인한 현금유입액,73042905636880,142466693476340,10204864503130
139,매도가능금융자산의 감소,72297591177740,142408209471610,8442846731370
140,종속기업투자자산의 감소,-0,-0,1633710225580
141,관계기업투자자산의 감소,468296632930,24182285620,28843450000
142,유형자산의 처분,104764073690,2366189530,83873580
143,무형자산의 처분,19123599800,12931716760,5424000000
144,임차보증금의 감소,97707829620,19003812820,93956222600
145,임대보증금의 증가,55422323100,-0,-0
146,2. 투자활동으로 인한 현금유출액,"(7,762,876,243,821)0","(14,300,660,423,392)0","(1,024,119,361,138)0"
147,매도가능금융자산의 증가,"(7,391,671,283,378)0","(12,336,928,887,777)0","(938,293,511,761)0"
148,종속기업투자자산의 증가,-0,"(950,326,444,746)0",-0
149,관계기업투자자산의 증가,"(272,295,013,851)0","(18,621,054,000)0","(29,000,000)0"
150,유형자산의 취득,"(46,562,286,746)0","(52,619,976,979)0","(6,795,605,321)0"
151,투자부동산의 취득,-0,"(913,116,553,799)0","(74,827,928,849)0"
152,무형자산의 취득,"(41,657,356,373)0","(20,832,905,175)0","(2,078,538,824)0"
153,임차보증금의 증가,"(8,191,373,473)0","(8,214,600,916)0","(2,094,776,383)0"
154,임대보증금의 감소,"(2,498,930,000)0",-0,-0
155,III. 재무활동으로 인한 현금흐름,40499995443320,"(3,363,518,055,190)0",41128079266620
156,1. 재무활동으로 인한 현금유입액,41012607716490,160573827060,41515410690900
157,차입부채의 순증가,30406994059550,-0,25332440329080
158,발행사채의 순증가,3825410288690,-0,5517000000000
159,유상증자,-0,-0,9538310991980
160,자기주식의 처분,4984999902300,-0,1725864800
161,기타부채의 증가,1795203465950,160573827060,1125933505040
162,2. 재무활동으로 인한 현금유출액,"(51,261,227,317)0","(3,379,575,437,896)0","(38,733,142,428)0"
163,차입부채의 순감소,-0,"(2,759,279,173,110)0",-0
164,발행사채의 순감소,-0,"(313,892,096,130)0",-0
165,배당금의 지급,"(25,940,557,950)0","(150,824,057,784)0","(4,132,760,700)0"
166,자기주식의 취득,"(172,801,387)0","(113,805,572,290)0",-0
167,기타부채의 감소,"(24,545,342,752)0","(41,774,538,582)0","(20,950,988,940)0"
168,비지배지분의 감소,"(602,525,228)0",-0,"(13,649,392,788)0"
169,IV. 외화표시 현금및현금성자산의 환율변동 효과,"(78,412,741,390)0",178898693760,62398938830
170,V. 현금및현금성자산 순증감 (= I + II + III + IV),"(631,579,751,259)0",16150078967800,2719407331270
171,VI. 기초 현금및현금성자산,20060287211630,3910208243830,1190800912560
172,Ⅶ. 기말 현금및현금성자산,13744489699040,20060287211630,3910208243830
