,과 목,주 석,제 68 (당)기,제 67 (전)기,주석
44,6. 매도가능유가증권 평가 및 처분이익,nan0,3877189284530,4562158373680,27.0
45,7. 외환거래이익,nan0,14614102347930,12025883143900,27.0
46,8. 파생상품 평가 및 거래이익,nan0,4745974244340,3347896225100,1127.0
47,9. 기타수익,nan0,6935162471980,5988085647710,3039.0
48,10. 특별계정수입수수료,nan0,9375693231660,9021021191570,nan
49,11. 특별계정수익,nan0,1548926092770,1127855667950,nan
50,II. 영업비용,nan0,201451604081660,163542892531740,nan
51,1. 보험계약부채전입액,nan0,62834416853300,57038262313590,16.0
52,2. 지급보험금,nan0,77281139569070,58686094296140,3139.0
53,3. 재보험비용,nan0,5987324589040,1601268161740,29.0
54,4. 사업비,nan0,12172196413640,8957541967110,3239.0
55,5. 신계약비상각비,nan0,13856008942340,12428901379990,15.0
56,6. 재산관리비,nan0,1079337002050,1021295484310,3339.0
57,7. 손해조사비,nan0,518469070120,-0,34.0
58,8. 당기손익인식유가증권 평가 및 처분손실,nan0,1403125595900,1702463402110,27.0
59,9. 매도가능유가증권 평가 및 처분손실,nan0,904676342130,1715692175880,27.0
60,10. 대출채권및수취채권 평가 및 처분손실,nan0,433290997970,243617585900,27.0
61,11. 외환거래손실,nan0,7209205644140,5670228698800,27.0
62,12. 파생상품평가 및 거래손실,nan0,11501593277090,9295917668000,1127.0
63,13. 기타비용,nan0,4519920366080,3805042103350,35.0
64,14. 특별계정지급수수료,nan0,215291987780,248711626870,nan
65,15. 특별계정비용,nan0,1535607431010,1127855667950,nan
66,III. 영업이익,nan0,5209710101080,5866376892990,nan
67,IV. 영업외수익,nan0,5336672472020,779592649080,36.0
68,V. 영업외비용,nan0,453396648720,576302988130,36.0
69,VI. 법인세비용차감전순이익,nan0,10092985924380,6069666553940,nan
70,VII. 법인세비용,nan0,1641690041160,770031876770,37.0
71,VIII. 당기순이익,nan0,8451295883220,5299634677170,nan
72,IX. 법인세비용차감후 기타포괄손익,nan0,"(867,023,297,380)0",1943032079350,nan
73,1. 당기손익으로 재분류되지 않는 포괄손익,nan0,"(1,669,321,744)0","(29,768,401,558)0",nan
74,1) 유형자산재평가이익,nan0,96323472660,81310402210,nan
75,2) 순확정급여부채의 재측정요소,nan0,"(11,301,669,010)0","(37,899,441,779)0",nan
76,2. 후속적으로 당기손익으로 재분류될 수 있는 포괄손익,nan0,"(865,353,975,636)0",2240716094930,nan
77,1) 매도가능금융자산평가손익,nan0,"(791,532,356,092)0",2088411919070,nan
78,2) 관계기업의 기타포괄손익지분,nan0,"(73,092,981,208)0",471564317990,nan
79,3) 위험회피목적파생상품평가손익,nan0,221153115790,"(35,025,681,010)0",nan
80,4) 특별계정기타포괄손익,nan0,"(30,352,793,163)0",29585220480,nan
81,5) 해외사업장환산외환차이,nan0,75088432480,1411447490,nan
82,X. 당기총포괄손익,nan0,"(21,893,709,058)0",7242666756520,nan
83,nan,nan0,nan0,nan0,nan
84,XI. 당기순이익의 귀속,nan0,8451295883220,5299634677170,nan
85,1. 지배기업의 소유주,nan0,7953412631820,5300920327830,nan
86,2. 비지배지분,nan0,497883251400,"(128,565,066)0",nan
87,XII. 당기총포괄손익의 귀속,nan0,"(21,893,709,058)0",7242666756520,nan
88,1. 지배기업의 소유주,nan0,338184017590,7244182765760,nan
89,2. 비지배지분,nan0,"(55,712,110,817)0","(151,600,924)0",nan
90,XIII. 주당이익,nan0,nan0,nan0,38.0
91,1. 기본주당이익,nan0,10580,6580,nan
92,2. 희석주당이익,nan0,10580,6580,nan
93,Ⅰ. 영업활동으로 인한 현금흐름,nan0,40877771246630,82070476850150,nan
94,1. 당기순이익,nan0,8451295883220,5299634677170,nan
95,2. 조정,nan0,41419673229630,39236891351180,41.0
96,3. 영업활동으로 인한 자산ㆍ부채의 변동,nan0,"(3,341,784,232,351)0",9314506566270,41.0
97,4. 이자의 수취,nan0,27189122535240,26761296075870,nan
98,5. 이자의 지급,nan0,"(14,322,657,135)0","(11,891,473,069)0",nan
99,6. 배당금의 수취,nan0,2627792380210,2708658880660,nan
100,7. 법인세부담액,nan0,"(524,904,388,681)0","(113,159,597,031)0",nan
101,Ⅱ. 투자활동으로 인한 현금흐름,nan0,"(3,823,628,634,303)0","(7,129,736,764,386)0",nan
102,1. 매도가능금융자산의 처분,nan0,81612890262170,93917003502490,nan
103,2. 위험회피목적 파생상품의 정산,nan0,"(140,042,182,476)0","(66,236,115,203)0",nan
104,3. 관계기업투자 처분,nan0,336431390740,81187488080,nan
105,4. 관계기업투자 배당,nan0,247350535350,71123453800,nan
106,5. 투자부동산 및 유형자산의 처분,nan0,350030360510,136560664160,nan
107,6. 무형자산의 처분,nan0,42016437550,11820955000,nan
108,7. 예치보증금의 감소,nan0,1260937225820,1473040434500,nan
109,8. 영업양도로 인한 현금유입,nan0,-0,43066350000,nan
110,9. 매도가능금융자산의 취득,nan0,"(11,781,371,265,895)0","(16,303,739,590,249)0",nan
111,10. 관계기업투자 취득,nan0,"(11,233,545,726)0","(7,469,000,000)0",nan
112,11. 투자부동산 및 유형자산의 취득,nan0,"(68,980,272,992)0","(170,100,148,887)0",nan
113,12. 무형자산의 취득,nan0,"(29,203,366,426)0","(15,555,935,102)0",nan
114,13. 예치보증금의 증가,nan0,"(109,274,162,672)0","(126,675,432,089)0",nan
115,14. 사업결합으로 인한 현금흐름,nan0,"(68,489,459,330)0","(13,340,827,659)0",nan
116,Ⅲ. 재무활동으로 인한 현금흐름,nan0,"(173,751,245,000)0","(715,586,142,168)0",nan
117,1. 비지배지분의 증가,nan0,18950000000,-0,nan
118,2. 자기주식의 취득,nan0,-0,"(587,696,728,510)0",nan
119,3. 배당금의 지급,nan0,"(135,250,245,000)0","(148,840,013,880)0",nan
120,4. 차입금의 상환,nan0,"(40,396,000,000)0","(6,478,344,578)0",nan
121,5. 차입금의 차입,nan0,-0,274289448000,nan
122,Ⅳ. 현금및현금성자산의 순증가 (Ⅰ+Ⅱ+Ⅲ),nan0,903972453600,3617247784610,nan
123,Ⅴ. 기초 현금및현금성자산,nan0,7594689227450,3978231679470,nan
124,Ⅵ. 외화표시 현금및현금성자산 환율변동효과,nan0,16079039610,"(79,023,663)0",nan
125,Ⅶ. 기말 현금및현금성자산,nan0,8514740720660,7594689227450,nan
